Username,Handle,Timestamp,Tweet Text,Comments,Retweets,Likes
Elon Musk,@elonmusk,2022-12-03T19:48:57.000Z,ChatGPT is scary good. We are not far from dangerously strong AI.,"3,853",10.6K,70.4K
Kevin Schawinski,@kevinschawinski,2023-01-12T08:04:15.000Z,First #ChatGPT answer which made me pause.,597,"4,369",36.2K
sid,@immaSidd,2023-01-12T14:09:33.000Z,ChatGPT what ,563,"2,913",16.7K
John Vianny,@johnvianny,2023-01-13T04:30:44.000Z,"Best AI Tools You Need To Know
#chatgpt #chatgpt3 #ArtificialIntelligence #ai","1,286",16K,61K
Rowan Cheung,@rowancheung,2023-03-23T19:42:31.000Z,"ChatGPT has a brand new plugin that uses the Bing API to access the current, up-to-date internet.

This changes everything.",91,459,"3,112"
OpenAI,@OpenAI,2023-03-23T17:16:30.000Z,"We are adding support for plugins to ChatGPT — extensions which integrate it with third-party services or allow it to access up-to-date information. We’re starting small to study real-world use, impact, and safety and alignment challenges: https://openai.com/blog/chatgpt-plugins…",586,"4,728",17.2K
Fun Guy,@Flex__Off,2023-03-17T23:52:00.000Z,"Whenever I’m done with chatgpt I always thank it, so when robots finally takeover they’ll spare me for my good behavior and humanization.",200,"2,973",11.7K
Zain Kahn,@heykahn,2023-03-22T14:12:48.000Z,"ChatGPT is just the tip of the iceberg.

20 AI tools that will transform your productivity forever:",161,"3,336",14.6K
𝚛𝚎𝚣𝟶,@rez0__,2023-03-24T13:34:34.000Z,"This morning I was hacking the new ChatGPT API and found something super interesting: there are over 80 secret plugins that can be revealed by removing a specific parameter from an API call.

The secret plugins include a ""DAN plugin"", ""Crypto Prices Plugin"", and many more.",141,"1,020","5,484"
Oliver Han | CRO,@oliverkarlhan,2023-03-24T15:48:02.000Z,"People are making millions using ChatGPT-4 in 2023.

So I created the Ultimate Guide to Increase Sales using ChatGPT-4

I'll sell it for $75

But you can get it for FREE for the next 24 hours.

Like, RT & comment ""Send"" and I'll DM it to you.

(Must be following so I can DM You)",702,663,"1,013"
Tibo,@tibo_maker,2023-03-24T13:56:49.000Z,"Start making $10k+ / month using ChatGPT4 to its best potential.

Spent this week curating a list of 80+ use cases of ChatGPT that you can build right now 

Will DM it if you

1. Follow Me
2. Retweet this tweet 
3. Reply ""ChatGPT4""","1,565","1,407",843
Shubham Saboo,@Saboo_Shubham_,2023-03-24T15:15:10.000Z,"ChatGPT for Research

No more sifting through endless research papers to find the answer you need. 

Just ask any question and Consensus AI will deliver a GPT-4-powered summary of the top 5-10 papers.",41,308,"1,773"
OD26,@_Od26,2023-03-25T01:21:52.000Z,"I asked Chat GPT if ""Immortal in valorant was impressive"" this is what it said",5,2,99
Gilly J,@MsGillyJ,2023-03-24T11:01:06.000Z,"Found another great way to use CHAT GPT. I'm helping my son study for his exams and I copy and pasted the topics and it generates worksheet questions for him to practice. All was going well for math and language but when I got to social studies, it generated this ",48,74,344
hip hop hall of fame,@hiphoph0f,2023-03-24T17:19:24.000Z,I asked ChatGPT to make a 10 song playlist. Are they getting the aux?,82,41,704
Forbes,@Forbes,2023-03-24T23:45:45.000Z,"Bard Vs. ChatGPT: The Major Difference Between The AI Chat Tools, Explained https://forbes.com/sites/ariannajohnson/2023/03/21/bard-vs-chatgpt-the-major-difference-between-the-ai-chat-tools-explained/?utm_campaign=forbes&utm_source=twitter&utm_medium=social&utm_term=Valerie…",4,12,54
DataChazGPT (not a bot),@DataChaz,2023-03-24T19:25:50.000Z,#ChatGPT has just become the dream browser. No ads and no superfluous writing!,49,65,364
Crypto Sparkle,@cryptosparkle01,2023-03-24T14:29:36.000Z,"Ranked as top-5 meme token by ChatGPT

Sitting at 43k mcap ATM. Team is pushing some marketing

Liquidity locked for 1 year

Contract ownership is renounced

https://t.me/KarenAI

https://dextools.io/app/en/ether/pair-explorer/0x24ff03d903214761c5539fe9af2820f144e08d16……

#KarenAI",226,227,572
BAGGINS | Bourbon is your friend,@baggins_cc,2023-03-24T20:09:47.000Z,Chat GPT knows about Proton (XPR) ,25,10,59
Des,@isaiahdes,2023-03-24T22:55:19.000Z,"Just had ChatGPT cook up a  debate between a Trini, Jamaican & Bajan ",2,1,4
