Username,Handle,Timestamp,Tweet Text,Comments,TEST,Retweets,TEST,Likes,TEST
Elon Musk,@elonmusk,2022-12-03T19:48:57.000Z,ChatGPT is scary good. We are not far from dangerously strong AI.,"3,861","3,861",10.6K,"10,600",70.5K,"70,500"
Kevin Schawinski,@kevinschawinski,2023-01-12T08:04:15.000Z,First #ChatGPT answer which made me pause.,602,602,"4,391","4,391",36.3K,"36,300"
sid,@immaSidd,2023-01-12T14:09:33.000Z,ChatGPT what ,569,569,"2,924","2,924",16.8K,"16,800"
John Vianny,@johnvianny,2023-01-13T04:30:44.000Z,"Best AI Tools You Need To Know
#chatgpt #chatgpt3 #ArtificialIntelligence #ai","1,292","1,292",16.1K,"16,100",61.2K,"61,200"
Charles Miller,@writingtoriches,2023-01-18T13:49:14.000Z,"AI copywriting tools to check out:

1. Chat GPT - Research
2. QuillBot - Paraphrasing
3. StoryLab - Hooks and outlines
4. Grammarly - Grammar/spelling
5. Hemingway - Conciseness/clarity
6. Power Thesaurus - Thesaurus
7. Tweet Hunter - Content creation

What else?",745,745,10.2K,"10,200",34.9K,"34,900"
,@tasty_gigabyte7,2023-01-31T23:54:29.000Z,ive been teaching chatgpt that 2+2=5 every day,997,997,"5,980","5,980",21.9K,"21,900"
Rowan Cheung,@rowancheung,2023-03-25T18:54:30.000Z,"3D animators are going to love this.

This is ChatGPT-4 for Blender.

& It’s available for everyone to try",43,43,229,229,"1,304","1,304"
gaut,@0xgaut,2023-03-23T21:57:35.000Z,23 year old consultants realizing chatGPT is going to get them fired,147,147,"1,397","1,397",19.1K,"19,100"
Tibo,@tibo_maker,2023-03-24T13:56:49.000Z,"Start making $10k+ / month using ChatGPT4 to its best potential.

Spent this week curating a list of 80+ use cases of ChatGPT that you can build right now 

Will DM it if you

1. Follow Me
2. Retweet this tweet 
3. Reply ""ChatGPT4""","2,286","2,286","2,135","2,135","1,514","1,514"
Zain Kahn,@heykahn,2023-03-22T14:12:48.000Z,"ChatGPT is just the tip of the iceberg.

20 AI tools that will transform your productivity forever:",167,167,"3,379","3,379",14.7K,"14,700"
