Username,Handle,Timestamp,Tweet Text,Comments,Retweets,Likes
Roger Rocha Moreira,@roxmo,2022-11-03T02:19:07.000Z,Líder da Coreia do Norte parabeniza Lula por vitória: 'Desejo boa sorte' // Pra vcs terem uma ideia!,157,576,2.739
KPR - Kpop pela Reunificação da Coreia,@KPR_Por,2022-10-25T16:43:34.000Z,"O novo presidente da Coreia do Sul está prendendo opositores políticos do partido democrata (que também é de direita) e caminhando para aumentar as provocações contra a Coreia do Norte.

Centenas de milhares de sul-coreanos foram as ruas exigir a renuncia do ditador Yoon Suk-yeol",47,1.657,7.628
Faka,@opropriofaka,2022-11-02T21:01:12.000Z,"Lula já recebeu os parabéns e o apoio de grandes líderes democratas, internacionalmente conhecidos por serem grandes pacificadores. Para citar alguns:

Daniel Ortega (Nicarágua)
Nicolás Maduro (Venezuela)
Xi Jinping (China)
Hamas (Palestina)
Kim Jong Un (Coreia do Norte)",376,2.296,7.495
KFA - Brasil,@KFA_Brasil,2022-11-03T11:25:39.000Z,"Isso nem faz sentido, Na Coreia do Norte a população camponesa é treinada com rifle, até os operários nas fabricas sabem usar.

As armas estão na mão do povo, o povo sabe usar elas muito bem, se fosse o que a midia pinta na propaganda, seria muito fácil acabar com essa ditadura.",28,352,2.991
CHOQUEI ᪥,@CH0QUEll,2022-11-02T23:11:37.000Z,"URGENTE: Apos inúmeras tentativas de países como a Coreia do Norte e Rússia tentando nos calar, a informação que os Anonymous nos revelou finalmente sairá a público!

A informação dada pelos Anonymous é nada mais nada menos que a localização do desconhecido ""CLITÓRIS""",17,80,547
CHOQUEI,@choquei,2022-11-02T22:59:47.000Z,"AGORA: Japão emite o seguinte alerta: ""A Coreia do Norte parece ter lançado um míssil. Abrigue-se em um edifício robusto ou no subsolo”.",748,2.496,"54,9 mil"
Folha de S.Paulo,@folha,2022-11-02T23:23:03.000Z,"Coreia do Norte insiste em testes de mísseis, e Japão emite alerta a população",8,33,278
Conexão Política,@conexaopolitica,2022-11-02T19:25:02.000Z,"Ditador da Coreia do Norte, Kim Jong-un parabeniza Lula por vitória na eleição",514,1.824,6.520
CHOQUEI,@choquei,2022-11-02T02:05:50.000Z,"AGORA: Coreia do Norte dispara 10 mísseis em “teste” contra o mar da Coreia do Sul. Um deles caiu a 57km a leste de Sokcho, um importante centro turístico coreano.",664,1.926,"22,4 mil"
UOL,@UOL,2022-11-03T02:02:03.000Z,Líder da Coreia do Norte parabeniza Lula por vitória: 'Desejo boa sorte',301,238,2.227
UOL Notícias,@UOLNoticias,2022-11-03T02:00:46.000Z,Líder da Coreia do Norte parabeniza Lula por vitória: 'Desejo boa sorte',279,336,4.416
Mundo News,@Mundo__News,2022-11-03T00:06:53.000Z, ATENÇÃO: A Coreia do Norte disparou vários mísseis nos últimos minutos. Um dos projéteis teria sobrevoado o Japão em direção ao Oceano Pacífico. Alertas de ataques aéreos foram ativados em várias cidades japonesas.,5,33,448
João Henrique da Fonseca,@JHFonseca,2022-11-02T17:30:53.000Z,"Passando para lembrar que o nome da ditadura mais fechada do planeta é “República Popular DEMOCRÁTICA da Coréia”, também conhecida como Coréia do Norte.
.
“DEMOCRÁTICA”.
.
Ignorem palavras, analisem ações.",5,41,217
Duda D-791,@uuguinhooo,2022-11-02T03:19:07.000Z,"Qualquer notícia sobre a Coreia do Norte e Coreia do Sul desde que o BTS confirmou o alistamento os comentários são baseados em falar deles, depois dizem que aquele país não gira em torno deles, são literalmente a imagem atual de lá falem bem ou falem mal mas falem de mim",1,5,72
Renato Souza,@reporterenato,2022-11-02T23:41:27.000Z,"Japão entra em alerta após Coreia do Norte lançar míssil balístico. TV NHK afirma que o projétil pode ter caído no mar. Pela manhã, o país lançou uma centena de tiros na fronteira com a Coreia só Sul.",8,34,417
OiSakura,@0iSakura,2022-10-30T10:56:59.000Z,"Banida do Brasil, quem usa VPN consegue me ver, então printem e espalhem: 

VOTEM, não fiquem em casa aceitando esse tipo de situação, não deixem que o Brasil se torne nível Coreia do Norte de Censura, está nas mãos de vocês, QUE DEUS ABENÇOE A TODOS, nos vemos na Vitória!!!! ",468,3.521,"25,5 mil"
Ivan Kleber,@lordivan22,2022-11-03T19:00:29.000Z,"ESTAMOS AO VIVO: Coréia do Norte lança mísseis e coloca Japão em alerta | Conexão Ásia

ACESSE NOSSA TRANSMISSÃO » https://youtube.com/watch?v=sHOSMl61QrE&ab_channel=PHVoxCanal…",2,13,82
yuri ⁽⁷²ᶦ²ʲ²⁾,@namublogs,2022-11-02T02:19:36.000Z,"Acalmem se, até agora não vi falando que atingiu algum estado da Coreia do Sul, e sim que foram sentido leste ao mar. Além que a Coreia do Norte sempre testa esses mísseis de mês em mês.",10,29,180
Bibi semi buying hiatus por tempo indeterminado,@amultifankpop,2022-10-26T01:30:51.000Z,"Pessoas fora da bolha reveluv não entendem que Red Velvet É MUITO MAS MUITO GRANDE E POPULAR NA COREIA, cara a voz da Seulgi e da Joy ja foi colocada pra parada de metrô em Seoul. Em dorama apresentaram pra militar e até a elite da coreia do norte sabe quem são elas.QUEENS MESMO!",5,125,584
Rafael Cardoso,@Rafaareamilitar,2022-11-03T14:04:07.000Z,"Tensão na Ásia aumenta após Coreia do Norte disparar 23 mísseis
Pyongyang lança 23 mísseis em um dia, o maior número desde 1953. Seul denuncia invasão territorial, depois que projétil caiu a menos de 60km da costa sul-coreana. Testes seriam reação a simulação de guerra com os EUA",,1,8
Lucas Rubio,@RMSLucasRubio,2022-10-31T23:31:55.000Z,"Com enorme alegria e gratidão anuncio a todos que sou o convidado da vez do podcast À Deriva na próxima quarta-feira, dia 2 de novembro, às 15h, para falar sobre a Revolução Coreana e o socialismo na Coreia do Norte. 

Peço humildemente aos camaradas divulgação e apoio nas redes!",39,440,2.758
André Fróes de Aguilar - Fróes,@andrefroes,2022-10-30T22:35:51.000Z,A sentença foi prolatada!!!! O povo soberano! Transitado em julgado! Democracia é isto!!! Quem não suporta a democracia deve mudar para Coréia do Norte!,12,34,423
Rodrigo Ianhez,@rianhez,2022-11-02T19:36:22.000Z,"Hoje, atualizei o TOP momentos bizarros do twitter. Eu ser acusado de racismo por usar a palavra ""rapaz"" se soma ao cara q duvidou q estive na Coreia do Norte pq não gosto de tirar fotos e ao outro que duvidava que moro na Rússia e achava que eu twittava de um porão em Osasco.",20,28,1.298
Fernanda Salles,@reportersalles,2022-11-03T00:33:38.000Z,"Ditador comunista Kim Jong-un parabeniza Lula por vitória nas eleições.

Ditador da Coreia do Norte disse ter ""confiança de que a relação amigável e cooperativa entre os países será aprimorada"".

Leia: http://cutt.ly/0NFz6BA
 https://metropoles.com/mundo/ditador-kim-jong-un-parabeniza-lula-por-vitoria-nas-eleicoes…",37,158,664
Alexandre Padrão,@PadraoAlexandre,2022-10-25T21:56:03.000Z,- Eu não quero viver na Coreia do Norte !,4,66,218
Rachel Sheherazade,@RachelSherazade,2022-10-31T21:10:06.000Z,"Com a vitória do 
@LulaOficial
 quantos “cidadãos de bem” vão se mudar para o Afeganistão, onde não tem urna eletrônica, imprensa livre nem Supremo Tribunal Federal? Destinos abertos também pra Cuba, Venezuela ou Coreia do Norte.",903,756,7.843
WandersondeOliveira,@sigaowo,2022-10-30T12:16:44.000Z,"Pessoal que votou no nine na Coreia do Sul, por que não andam um pouquinho e mudem para Coreia do Norte?

Eis a hipocrisia da esquerda.",,5,40
Джованні Чакон,@GiovanniChacon_,2022-10-30T18:05:38.000Z,Que loucura o que o Kim Jong-Un tá fazendo pra dificultar a vida dos opositores pra votar na Coreia do Norte cara…,57,231,1.870
vilão,@siulsegrobegroj,2022-11-02T21:37:19.000Z,Queria usar a mesma droga que a glr q defende a Coreia do Norte como sociedade socialista,1,,14
O Judeu Ateu,@ojudeuateu,2022-11-02T18:09:41.000Z,"Cenas tristes na CORÉIA DO NORTE, onde esta manhã foi noticiado aos cidadãos que o país ganhou a 3ª Guerra Mundial contra os EUA. Isolados do resto do mundo, os coreanos estão em prantos no chão, chorando de felicidade.",2,15,77
O professor,@AndreLima_Lopes,2022-11-03T18:23:40.000Z,"Eleição não é democracia, se assim fosse a Coréia do Norte não seria uma ditadura. O cabeça de egg quer sacralizar as eleições? É isso mesmo?",,2,4
el lobo siempre cuida su loba aaauuuuu baby im,@rmcharmoso,2022-11-02T02:28:26.000Z,obrigada choquei por espalhar mais desinformaçao sobre a coreia do norte,1,3,9
E.Pahl#OMalVesteToga!,@ErsopaErli,2022-11-03T09:06:51.000Z,"Todos os socialistas/comunistas que votaram no ladrão mais corrupto da história, desejo à todos vocês a abundância da Venezuela, o salário de Cuba, a justiça da China e a liberdade da Coreia do Norte.",8,7,30
ℙ𝕣𝕠𝕗. 𝕌𝕓𝕚𝕣𝕒𝕥𝕒𝕟 𝕁𝕠𝕣𝕘𝕖 𝕀𝕠𝕣𝕚𝕠,@biraiorio,2022-11-02T23:02:30.000Z,"Mais um ditador comunista parabenizando o camarada. Hoje, foi o da Coreia do Norte.",4,24,286
Godzilla Baby,@godzillababy33,2022-11-01T14:43:42.000Z,"Democracia é uma falácia.
Rússia, China, Bielorrússia, Coreia do Norte, Irã.
Isso no vídeo abaixo é um projeto, é proposital.
Vendem uma liberdade deturpada onde vc pode escolher entre réplicas de Nike e Adidas, cocayna e p0rn0grafia.",5,7,36
Silvio Grimaldo,@silviogrimaldo,2022-11-02T23:05:43.000Z,A lista de amigos de Lula só melhora...,22,244,1.105
Ana Ribeiro perfil reserva,@anaribeirossp,2022-10-31T14:31:13.000Z,"Os beneficiados da Open Society não gostam da Rússia, nem de Cuba, nem da Nicarágua, nem da Coreia do Norte, nem do Talibã, nem da Palestina,nem da Venezuela. Eles acusam os governos operários de ""ditadores"". Porque será?",,8,25
Terra Brasil Notícias,@TerraBrasilnot,2022-11-02T19:31:35.000Z,"Ditador da Coreia do Norte, Kim Jong-un parabeniza Lula por vitória na eleição",125,394,982
Camarada Artio,@VivaAComuna,2022-10-31T03:48:39.000Z,"No aguardo do Brasil virar a Coreia do Norte, só votei no Lula pq me prometeram isso...",4,35,277
Pedro Vieira,@PedroVieira_25,2022-10-27T02:29:36.000Z,Acabei de ler que a Coreia do Norte não é uma ditadura. Que vontade de desinstalar o Twitter ,47,14,344
