Username,Handle,Timestamp,Tweet Text,Comments,Retweets,Likes
sexico,@bootleghomiee,2023-03-24T14:07:19.000Z,"""Gen Z will never understand"" and its a reference to one of the most popular movies ever made",183,"2,738",40K
Jessica Anderson For VA HouseofDelegates,@JessAnderson4VA,2023-03-22T13:39:22.000Z,"So thankful for Gen Z, but also thankful for woman like this as well. There is still a living and breathing generation that saw firsthand what fascism looks like and is fully aware of what political party is aligning with it.",207,"5,111",15.5K
Jason Bartles,@jabartles,2023-03-23T19:04:54.000Z,Gen Z will never understand why Millennials need to pass this truck as quickly as possible.,5,"1,685","3,800"
End Wokeness,@EndWokeness,2023-03-24T16:37:50.000Z,"Raised by woke parents
Educated by woke teachers
Entertained by woke Hollywood
Informed by woke Big Tech algos

Is there any hope for Gen Z?",896,546,"4,160"
Ryan,@CRShort81,2023-03-21T12:57:07.000Z,Gen Z and Gen Alpha: don’t don’t don’t don’t don’t don’t don’t don’t don’t DO NOT DO THIS.,110,"2,725","9,225"
zǝuıʇɹɐɯ ɹıɯıpɐןʌ,@vladmartinez4_,2023-03-24T22:55:53.000Z,"""gen z will never understa-",,2,74
Michelle,@LivingBlueTX,2023-03-24T23:39:23.000Z,Gen Z is going to make #txlege Republicans regret all of the harm they inflicted on Texas one day soon.,7,27,89
Ebby,@ebedee,2023-03-24T08:22:30.000Z,The Gen Z intern that was hired last month has written the HR to give him 20 working days leave so he can observe the Ramadan fast ,18,198,290
Just saying,@kangaroos991,2023-03-18T06:23:10.000Z,"Gen Z and Millennials!  Indeed, anyone who CARES about the future!",46,344,962
𝖗𝖎𝖇𝖟✮,@ribz_rb,2023-03-18T06:29:51.000Z,"Gen Z is most definitely the generation of ""respect is earned""",89,308,788
Steve,@oldguy_steve,2023-03-19T04:09:04.000Z,Gen Z has no idea what they're missing!,67,102,630
wilder,@wilderpatriot,2023-03-21T18:58:54.000Z,"Girl loses weight, gets more attention from guys… wouldn’t this go both ways? Gen Z ",462,82,452
ky⋆ ꕥ,@fishyfe3t,2023-03-24T18:55:12.000Z,why do millennials think gen z are all like 12 as if the oldest zoomers aren’t 25/26 ,10,32,"2,456"
Kat Tenbarge,@kattenbarge,2023-03-21T21:50:17.000Z,Seeing people say things like “Gen Z is too smart for organized religion” no no don’t get it twisted Gen Z is simply joining cults led by lifestyle influencers instead,81,"3,238",28.8K
Ada Lluch,@ada_lluch,2023-03-22T16:16:55.000Z,"Few months ago I lost half of my friends because 
@ElonMusk
 liked my tweet.

From then I decided to stop being scared and use my voice to push back on the woke insanity.

Can I get everyone to RT this & follow my account to help me spread some traditional values to Gen Z?",266,"2,167","5,645"
HEX THE PATRIARCHY,@michellehex1212,2023-03-22T18:50:30.000Z,The GOP will not survive Gen Z. The NRA will not survive Gen Z. They picked the wrong generation to fuck with.,72,255,"1,354"
Harry Sisson,@harryjsisson,2023-03-16T20:21:46.000Z,The Republican Party should be terrified of Gen Z in 2024.,"1,530",561,"2,471"
ren,@louvgorn,2023-03-20T09:32:50.000Z,not @ him posing like this next to his dad and his boss  that’s very gen z of you gemini,10,805,"3,479"
FS Emeka Yusuf,@FS_Yusuf_,2023-03-24T14:57:30.000Z,"How many tweets FFK go delete in the past 24 hours!???? Oga no go do this gig work small small.

A former Minister dey run gig like ignorant Gen Z.",57,568,"2,038"
Tired mom with lots of opinions,@TiredAF16043124,2023-03-24T14:25:53.000Z,"This is what the young generation of women are talking about on social media, A LOT.
They grew up being told being ""girly"" is bad, naturally they are rebelling. 
#feminism #masculinity #genz #genderroles",8,15,29
Dr. Values & Principles PhD-V.P.,@ValuePrinciple,2023-03-25T00:49:03.000Z,"#GenZ #Liberals #Leftists 

Friendly REMINDER to get off your asses and do something with your lives!

That includes getting a J.O.B and moving out of your parents and taking responsibility for yourself (without being a Narcissistic Asshat)!",1,,
Miss Roach,@robhimsis,2023-03-24T02:23:17.000Z,"Honestly I’m for banning TikTok. The way kids be on there exposed to hella shit, people getting bullied on there worse than ever before, it promotes hella weird ass unhealthy habits that is going to make Gen Z the worst most annoying kind of people.",11,158,779
Lily || Intergalactic Bimbo,@bubblegummbimbo,2023-03-24T22:07:40.000Z,I bet Gen Z doesn't remember who she is!,3,4,21
georgia,@adatarg,2023-03-24T17:50:27.000Z,gen z is so insufferable lmao,1,3,27
Chris,@cdmukasa,2023-03-22T13:35:47.000Z,I don’t think academic medicine is ready for the arrival of gen z residents and it fills me with nothing but glee,59,401,"3,838"
Angelo Cocchiaro,@AngeloForChange,2023-03-23T21:03:26.000Z,"My name is Angelo Cocchiaro and I am running to be the first-ever Gen Z school board member elected in Virginia.

We face a MAGA governor who wants to ban books, whitewash history, & erase LGBTQ+ youth. He’s just dead wrong—I’ll stand up to him.",9,110,313
alex,@skywalkerquinns,2023-03-25T00:08:51.000Z,millennials trying to go 4 seconds without acting like all of gen z lives under a rock,3,2,38
Brandon | 11 days left,@weezintime,2023-03-22T02:13:57.000Z,"As a late gen z kid growing up in a very trans accepting environment, this doesn’t happen",32,197,"2,447"
Commercial Real Estate Max,@maxfisherRE,2023-03-24T22:14:13.000Z,When Gen Z’s get into commercial real estate,1,1,18
بيمو حلال,@BIMOUETTE,2023-03-24T13:12:56.000Z,"Gen Z after surviving COVID/MONKEYPOX, WW3, Queen Elizabeth II death, the Sessho-seki and being krissed.",2,9,42
olive klug,@OliveKlug,2023-03-24T01:58:39.000Z,Riptide is Gen Z's wonderwall,2,35,342
EKB STUNNER?,@SuperSmada,2023-03-18T17:42:20.000Z,KING OF GEN Z.,12,46,199
