Username,Handle,Timestamp,Tweet Text,Comments,Retweets,Likes
Somos São Paulinos,@somosaopaulinos,2022-09-27T12:41:27.000Z,"""Só futebol..."" Isso é São Paulo! 

 juspfc/TikTok",3,279,1.357
Rayssa,@rayssa_caetanoo,2022-09-26T08:40:09.000Z,ver futebol é terapia,130,3.263,8.406
neymar jr deprê,@neymarjrdepre,2022-09-26T14:47:04.000Z,Mais fotos do Neymar no novo #FIFA23. ,66,313,"13,6 mil"
,@DoentesPFutebol,2022-09-26T09:48:27.000Z,"Bom dia!!!

(Menos para o brasileirinho torcedor da França e da Argentina )",45,652,5.297
Pics Neymar Junior,@picsnjr,2022-09-24T01:13:38.000Z,Orações pro Neymar não estragar o cabelo até a copa!!,56,774,"14,6 mil"
messi depre,@leomessidepre,2022-09-26T15:56:05.000Z,"Lionel Messi: “Neymar e eu nos conectamos de primeira, a gente se divertiu em Barcelona por várias temporadas e eu desejei mais, e então a vida permitiu nos encontrarmos em Paris.” 

É a melhor amizade que o futebol nos proporcionou. ",11,361,3.296
SCCP News,@_sccpnews,2022-09-25T14:29:48.000Z," | Fausto Vera presente em Itaquera para acompanhar a final do Sub-20.

O HOMEM RESPIRA FUTEBOL!",28,85,3.268
FIFA TRADE BRASIL,@FIFATRADEBRASIL,2022-09-24T18:40:39.000Z,Se liga no ABSURDO que é a face do Messi no FIFA 23.,196,914,"23,2 mil"
bwin_pt,@bwin_portugal,2022-09-26T13:26:05.000Z,Isaac é futebol ,2,117,455
,@DoentesPFutebol,2022-09-27T14:18:18.000Z,"Os caras comemorando o título da segundona argentina quase que perdem a cabeça (literalmente!).
Ainda bem nada aconteceu.",16,57,840
Cristiano Ronaldo Brasil,@CR7Brasil,2022-09-25T18:56:00.000Z,Esse jovem mudou a história do futebol.,18,368,4.502
Meu Timão,@MeuTimao,2022-09-27T01:00:08.000Z,Esses são os atletas que mais ganharam títulos pelo Corinthians no futebol,31,252,2.070
Instasantosfc,@oinstasantosfc,2022-09-25T18:16:50.000Z,Lendas do futebol mundial ,1,27,693
Central do Chelsea #KTBFFH,@CentralCFC_,2022-09-26T15:06:41.000Z,Um dos maiores de todos os tempos do futebol...,2,13,211
Cabine Desportiva,@CabineSport,2022-09-26T12:03:48.000Z,"Porque o futebol, é isto ",15,625,2.394
Portal Mult Songs,@multsongsNU,2022-09-27T14:25:53.000Z,"Now United esgotando ingressos em um estádio de futebol gigante, eles merecem MUITO!!",3,67,336
Mecão é Minha Vida,@MecaoeMinhaVida,2022-09-26T01:10:20.000Z,"O mesmo time proporcionando dois cenários totalmente contrários! 

É POR ISSO QUE O FUTEBOL É MARAVILHOSO! ",1,16,141
Planeta do Futebol,@futebol_info,2022-09-26T21:37:55.000Z,"Tite sobre Pedro jogar contra a Tunísia:

“Ele possivelmente terá uma situação no jogo. Possivelmente. Não é assegurado que sim. Mas independente disso eu já tenho o diagnóstico do Pedro, eu sei o que ele pode dar. Não será só esse jogo que vai determinar.”

 Lucas Figueiredo",187,183,4.431
𝗏𝖾𝗇𝗍𝗒,@iluvboobszz,2022-09-27T01:02:37.000Z,Simplesmente pensando no quão sou descartável no futebol pq sou muito ruim,2,,3
Rodrygo Goes,@RodrygoGoes,2022-09-27T15:24:22.000Z,"Podem nos puxar, empurrar, derrubar. Mas nunca vão conseguir tirar a nossa garra. 
@CBF_Futebol
 

#NossaGarraSegueEmFrente #VesteAGarra 
@nikefootball",23,147,1.199
BRASILEIRÃO DA DEPRESSÃO,@br_dadepressao,2022-09-26T15:23:07.000Z,"O cara joga em 2 time diferente e ainda assiste ele na arquibancada

Isso é futebol Brasileiro...",3,31,250
V,@ffcvery,2022-09-26T14:32:32.000Z,Figueirense Futebol Clube.,,11,82
Gabriel santana,@Gabriels4ntan4,2022-09-26T03:25:10.000Z,5 dias... São Paulo futebol clube apenas.,2,1,33
Toguro,@toguro,2022-09-27T03:43:04.000Z,"todo dia vou estudar futebol, Bíblia, e biomecânica",124,814,6.534
Futebol Nostálgico!,@futnostalgico,2022-09-25T13:17:26.000Z,"O controle de bola do tal Zinedine Zidane era bizarro 

Nostálgico!",87,798,5.563
andressa ᶜʳᶠ,@eiiarrascaeta,2022-09-26T18:06:56.000Z,sem clubismo e tals...,,1,14
𝗨𝗖𝗟 𝗜𝗻𝘀𝗶𝗱𝗲𝗿,@UCL_Insider,2022-09-26T17:42:51.000Z,Qual é a camisa mais pesada do futebol?,3,,2
Pombo Mil Grau 777,@PomboMilGraau,2022-09-25T13:12:12.000Z,"""Não se briga por causa de Futebol""

Eu quando alguém fala mal do Vasco:",,135,644
Gustavo Minerva,@GustavoMinerva,2022-09-26T14:30:00.000Z,copa é só futebol mesmo?,68,66,1.707
2% de orbaᵉᶜᵛ,@jossanborba,2022-09-26T17:28:15.000Z,O futebol é muito bom ,,,66
Daily CR7,@dailyaveiro,2022-09-25T15:30:54.000Z,Cristiano Ronaldo em sua primeira passagem pelo Manchester United foi uma das versões mais absurdas e completas de um jogador na história do futebol!,,1.103,8.364
LEMOS SPFC,@LemosSpfc1,2022-09-26T14:15:04.000Z,"Dia 1° de Outubro, em Córdoba, o São Paulo Futebol clube tem pela frente o Independiente Del Valle, pela final da Copa sul-americana... Momento de escrever história.

#TorcidaQueConduz 
#VamosSaoPaulo 
#PartiuCórdoba",,5,49
Guia do Futebol,@GuiaFutebolPlus,2022-09-26T23:53:02.000Z,[2011]  O lance genial de Leandro Damião (Brasil) pra cima de Emiliano Papa (Argentina),4,65,749
Amor à Camisola,@aac_futebol,2022-09-27T07:17:45.000Z,Pedro Neto e Gonçalo Ramos são os jogadores que ficam fora da ficha de jogo contra a Espanha.,,,3
Porco_sep,@Porcosep1,2022-09-26T21:45:27.000Z,"Foco total no próximo confronto. 

Dia de muitos trabalhos na Academia de Futebol. 

AVANTI PALESTRA! ",,,
PQP Futebol Clube,@ClubePqp,2022-09-26T01:47:19.000Z,"Bateu no primeiro tempo, tá!? 

Me paga aí!!!! #bet365 #apostasesportivas",1,1,2
EsportudoW,@EsportudoW,2022-09-27T12:31:22.000Z,"MACHISMO E A SEXUALIZAÇÃO 

Milton Neves não é o 1º a fazer comentários objetificando a mulher no futebol, e infelizmente, não será o último. 

Não queremos (como torcedoras, jornalistas ou atletas), ser olhadas por beleza ou qualquer outra coisa que fuja do lado profissional.",90,158,1.069
FutebolNews,@realfutebolnews,2022-09-26T20:17:41.000Z,"Frase motivacional do dia:

Se Harry Maguire é capitão no Manchester United, titular da Inglaterra e jogador de futebol, você pode ser tudo na vida.",76,1.805,"11,2 mil"
Mundo do Futebol,@futeinfos,2022-09-26T12:48:03.000Z,Antony joga bonito. ,2,332,3.520
mister_Occam,@Navalha_Occam,2022-09-26T17:24:51.000Z,Uma das maiores reviravoltas capilares do futebol,5,1,239
,@DoentesPFutebol,2022-09-26T22:14:37.000Z,"Esse já foi. 
@vinijr
  

 Lionel Hahn",,27,1.992
Jogada de camisa 10,@jogadadcamisa10,2022-09-27T15:38:54.000Z,#sdv #romario #futebol Espero que hoje seja um bom dia!,,,
Everaldo Ribeiro,@Everald11778071,2022-09-27T00:46:29.000Z,"Racha dos pais , escola de futebol prof.Pista, Crato Ceará.",,,
Soberan0,@LoucoPFutebol9,2022-09-26T02:33:03.000Z,"ÔÔÔ TRICOLOR 
Ela tira onda ",,,1
coisas que só acontecem no futebol brasileiro,@soacontecenoBR8,2022-09-26T14:32:11.000Z,DJ coloca arrocha funk depois do hino brasileiro,70,588,5.418
coisas que só acontecem no futebol brasileiro,@soacontecenoBR8,2022-09-26T09:29:56.000Z,Santos e Corinthians disputando para ver quem fica com o Luan,10,128,1.077
NN,@ComendoCurioso,2022-09-26T16:18:53.000Z,Nem só de política e futebol vive o Homem.,,,1
FIFA TRADE BRASIL,@FIFATRADEBRASIL,2022-09-25T22:16:25.000Z,"Gringo diz: O futebol brasileiro nao é mais o mesmo.

O sub 13 do Santos:",74,809,9.643
