Username,Handle,Timestamp,Tweet Text,Comments,Retweets,Likes
Estadão,@Estadao,2022-10-26T09:00:02.000Z,Fernando Haddad é entrevistado por Rádio Eldorado e ‘Estadão’ a partir das 8h30; acompanhe ao vivo #Eleicoes2022,24,10,103
Lil MarcoM,@marcosmore,2022-10-22T14:25:17.000Z,"Três coisas que eu NÃO AGUENTO MAIS:

- Eleições 2022
- Vídeos de Jade Picon atuando
- Tuítes de Flora Matos brigando sozinha",125,"10,7 mil","50,8 mil"
Eleições 2022 - BR,@PesqBR2022,2022-10-25T21:00:03.000Z," PRESIDENTE JAIR BOLSONARO HOJE EM CAMPANHA NA CIDADE DE GUANAMBI NA BAHIA. BOLSONARO TENTA REDUZIR VANTAGEM DO EX-PRESIDENTE LULA NO ESTADO, MAIOR COLÉGIO ELEITORAL DA REGIÃO NORDESTE.",227,2.848,"12,6 mil"
Felipe Castanhari,@FeCastanhari,2022-10-16T15:23:25.000Z,"A verdade difícil de aceitar é que não existe vídeo capaz de tirar voto do Bolsonaro. 
Mesmo se ele aparecesse em um vídeo espancando crianças, ainda não perderia votos. Seus apoiadores questionariam “o que essas crianças esquerdistas fizeram para irritar o capitão?”",6.704,"45,5 mil","231,7 mil"
CHOQUEI,@choquei,2022-10-26T02:24:42.000Z,"BRASIL: Na reta final para encerrar as eleições, Lula lança clipe do jingle “Sem Medo de Ser Feliz” com diversos artistas como:

Chico Buarque, Gregorio Duviver, Preta Gil, Camila Pitanga, Marieta Severo e dentre outros. #Eleições2022","12,9 mil","18,4 mil","73,2 mil"
America Elects,@AmericaElige,2022-10-19T21:08:19.000Z,"Brazil (Presidential Election, second round), Datafolha poll:

Lula (PT, centre-left): 52% (-1)
Bolsonaro (PL, right): 48% (+1)

(+/- vs. 13-14 October 2022)

Fieldwork: 17-19 October 2022
Sample size: 2,912

#Brazil #Lula #Bolsonaro #Eleicoes2022",27,75,224
Marcelo D2,@Marcelodedois,2022-10-26T12:44:14.000Z,"Será que até o Papa está cego, ou vc que vota no Miliciano que não vê? 

Papa Francisco: 'Peço à Nossa Senhora Aparecida que livre o brasileiro do ódio' | Eleições 2022 | O Globo",252,629,3.936
CHOQUEI,@choquei,2022-10-25T14:17:35.000Z,"AGORA: Lula diz que não irá concorrer à reeleição em 2026, caso seja eleito e afirma que será presidente de um mandato só. #Eleiçoes2022",5.936,9.389,"108,7 mil"
CHOQUEI,@choquei,2022-10-22T20:29:55.000Z,"AGORA: Marta, camisa 10 da Seleção Brasileira Feminina, curte postagens a favor de Lula da Silva. #Eleições2022",2.435,9.450,"84,7 mil"
Lucas Vianna,@VIANNA_LUC4S,2022-10-26T16:26:03.000Z,Prevaricação do TSE???  #TSE #Eleicoes2022 #Politica,,,
Instituto Veritá,@InstitutoVerit1,2022-10-26T16:25:35.000Z,"O Instituto Veritá, com base na última pesquisa divulgada na terceira semana do 2o turno, demonstra como está a dinâmica da opinião dos eleitores em cada estado brasileiro.

#Eleicoes2022 
#presidente
#SegundoTurno",1,9,21
Metrópoles,@Metropoles,2022-10-26T16:21:57.000Z,"Cumprindo agenda em Minas, Bolsonaro diz: “Sou mineiro, uai”.

Candidato à reeleição fará campanha nesta quarta-feira (26) em várias cidades do estado, onde tenta reverter votos pró-Lula. 

#Eleicoes2022",31,5,24
Metrópoles,@Metropoles,2022-10-25T19:18:52.000Z,"General Heleno grava vídeo para atacar o PT: “Quadrilha vermelha”.

Para ele, não há comparação entre os governos petistas e o do presidente Bolsonaro: “Não é possível admitir a quadrilha vermelha de volta”. #Eleições2022

Leia: https://cutt.ly/7NpOXiW",281,84,535
PESQUISAS E ANÁLISES ELEIÇÕES 2022,@pesquisas_2022,2022-10-26T10:35:06.000Z," GENIAL/QUAEST- PRESIDENTE NO NORDESTE

 VOTOS VÁLIDOS

Lula 75% (+2%)
Bolsonaro 25% (-2%)

O ex-presidente Lula perde em TODAS as REGIÕES, exceto no Nordeste, onde lidera com 50 pontos de vantagem. E essa diferença já o leva à dianteira nos VOTOS NACIONAIS TOTAIS.",338,1.460,8.066
Lucas Oberg,@Lucasooberg,2022-10-26T12:16:49.000Z,"ENQUETE ELEIÇÕES 2022 PRESIDENCIAL.

2º TURNO QUEM VOCÊ VOTA ?

 LULA (PT)
 BOLSONARO (PL)

#LulaPresidente20221️⃣3️⃣ #BolsonaroReeleito2️⃣2️⃣ 

 COMPARTILHE ",2,305,1.398
Partido Liberal - PL 22,@plnacional_,2022-10-25T17:59:02.000Z,"A nossa bandeira é verde e amarela!  O povo está com o capitão. O povo nordestino e do Brasil inteiro. Vamos vencer, mais uma vez. Dia 30 é ! #JairBolsonaro #Bolsonaro #Bolsonaro22 #Eleições2022 #Eleicoes2022 #NordesteComBolsonaro #Vote22",8,170,442
Sadrack Vanderley,@SadrackVanderl1,2022-10-26T13:32:59.000Z,"O silêncio do consórcio de imprensa é impressionante, não se ver um cobertura completa sobre a fraude nas eleições.

GRAVÍSSIMO!

  Apenas a 
@JovemPanNews
 está cobrindo com detalhes.

#radiolao 
#Eleições2022 
#BolsonaroReeleito2️⃣2️⃣",1,19,24
CHOQUEI,@choquei,2022-10-24T21:56:35.000Z,"AGORA: Jason Momoa, nosso Aquaman, declarou apoio a Lula (13) em seu stories #Eleiçoes2022",1.140,7.052,"59,1 mil"
