Username,Handle,Timestamp,Tweet Text,Comments,Retweets,Likes
✧ Jessie Pangaio ✧,@JessiePangaio,2022-09-24T17:26:53.000Z,"Você sabia que o personagem Mika nasceu quando os desenvolvedores estavam criando a fauna de Sumeru e um dos animais era um periquito, que foi rejeitado no projeto final, mas eles não queriam perder o trabalho e transformaram em um personagem jogável  #brincadeira #fakenews",1,,32
Lu Babata,@lukamacg,2022-09-27T15:42:07.000Z,#Fakenews BBC News Brasil: Fake news sobre perseguição a evangélicos chegam a milhões via filhos e aliados de Bolsonaro.,,,
Silvio Darlan,@SilvioDarlan,2022-09-24T16:25:09.000Z,O candidato bolsonarista Pedro Cunha Lima joga a maior fake news das eleições. O ESTADO NÃO TRIBUTA OPERAÇÕES PIX . #FakeNews,5,12,63
BiraCartunista,@BiraCartunista,2022-09-21T17:24:53.000Z,"#BolsonaroVergonhaMundial
#vagabundo
indústria de #FakeNews boataria bolsonarista.
EU AUTORIZO O TSE A FECHAR O ESCRITÓRIO DO ÓDIO
#JornalGrifo, #RevistaPirralha, #PavioCURTO e grupo #POSTe: ação conjunta.
#BroxanteÉ
Mais uma #pirralhada.
#BozoBroxa.
#MentirosoNaONU
#vagabundo",,3,6
Rogério Senador 222,@rogeriosmarinho,2022-09-26T10:43:07.000Z,"E conhecerão a verdade, e a verdade os libertará"". João 8:32

FORAM 3 DERROTAS do candidato do acordão, o candidato camaleão, neste domingo (25). A justiça eleitoral está atenta e foi dura e justa contras as MONTAGENS e FAKE NEWS. 
#FakeNews #RogerioSenador222",6,48,281
Tiago Gentil,@titi_gentil,2022-09-24T17:21:30.000Z,"Não sei quem disse!   Mas tirar foto no fim do treino, dar mais resultados? Kkkk

#fakenews",,,25
Arschang Valipour,@lungendoc,2022-09-25T10:00:33.000Z,"Frag mich gerade, wer da nicht mehr klar denken kann?! 

Welche universitäre Einrichtung lässt es zu, dass Herr Dr. Bhakdi seinen Titel als Professors behalten darf?

#fakenews",17,36,279
RadarNews_Oficial®,@RadarNews__,2022-09-27T15:06:02.000Z,"CORRE AQUI EX PRESIDIÁRIO E DIZ QUE É #FAKENEWS... 2005 O POBRE TAVA COMPRANDO 1 KILO DE CARNE POR 1 REAL, O GÁS DE COZINHA CUSTAVA 0,50 CENTAVOS O BOTIJÃO, O FEIJÃO CUSTAVA 0,80 CENTAVOS.. NÉ? CAMBADA DE VAGABUNDOS HIPÓCRITAS..
#BolsonaroReeleito
#Bolsonaro22",,,1
RosePaixão13rasil,@rosepaixao_on,2022-09-22T22:24:08.000Z,"#Metaverso? #FakeNews?

Fiquem atentos. Escutem o recado!!!",,2,8
Marcelo,@BonatoMarceleza,2022-09-26T16:29:58.000Z,"Cadê mo Ministério da Verdade, vulgo empresas checadoras agora? Sebador da republica fazendo #FAKENEWS e anda acontece?

A matéria é de 13.set.2022 (terça-feira)",,1,14
Arapongas MAIS +,@arapongasmais,2022-09-27T12:57:36.000Z,"e dizem que era tão ""bão"" na época dele #fakenews",,,
Luciana Mendes,@lulucamendes,2022-09-19T23:59:44.000Z,"Povo tá desesperado mesmo, hein? #kpopers brasileiros, nunca pedi nada pra vcs. Os americanos derrubaram comícios do Laranjado, façam o mesmo aqui. #fakenews",,1,2
Jeane Cunha Chagas,@JeaneCunhaChag2,2022-09-27T10:21:39.000Z,"Mais #Fakenews! Quanto desespero! Assessor é para auxiliar o Presidente mesmo! É a luta do bem contra o mal! #BolsonaroNoPrimeiroTurno #BolsonaroReeleito 
#CapitaoDoPovoQueVaiVencerDenovo ",,,
Jeoás Farias #PresençaDigital,@JeoasFarias,2022-09-21T10:00:07.000Z,"Foi um fraco militar. E sempre foi péssimo político. Como presidente, venceu na politica do ódi0 e #fakenews. Um desastre na economia. Desumano na pandemia. Tchutchuca pro Centro, mas sempre fervoroso contra as #mulheres.

Tenha lado. Assuma seu repúdio contra Bolsonar0.",1,,4
Jorge Dias,@jorgemaragojipe,2022-09-27T12:31:32.000Z,"Estão espalhando uma enorme mentira sobre 
@LulaOficial
 ter dito ao EL Pais que POBRE IA TER QUE COMER ARROZ SEM CARNE. A 
@folha
 errou e admitiu. #FakeNews",,,
PerguntasproJair,@PerguntasproJ,2022-09-25T11:01:04.000Z,Mais uma #FakeNews…Esses caras não se cansam de mentir? Gzuis,,,1
Devangelista,@dougnil,2022-09-25T06:16:27.000Z,"E aí,  Agencia Lupa 
@agencialupa
 a Senadora disse a verdade sobre a vara do tchutchuca do  
@jairbolsonaro
 ou é #fakenews também? Afinal a #VaraCurta ou não?",,,2
